Unnamed: 0,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,PoW/PoS,41.99995383,42
365,365Coin,X11,PoW/PoS,,2300000000
404,404Coin,Scrypt,PoW/PoS,1055184902.04,532000000
611,SixEleven,SHA-256,PoW,,611000
808,808,SHA-256,PoW/PoS,0.0,0
1337,EliteCoin,X13,PoW/PoS,29279424622.5027,314159265359
2015,2015 coin,X11,PoW/PoS,,0
BTC,Bitcoin,SHA-256,PoW,17927175.0,21000000
ETH,Ethereum,Ethash,PoW,107684222.6865,0
LTC,Litecoin,Scrypt,PoW,63039243.3000049,84000000
DASH,Dash,X11,PoW/PoS,9031294.37563393,22000000
XMR,Monero,CryptoNight-V7,PoW,17201143.1449131,0
ETC,Ethereum Classic,Ethash,PoW,113359703.0,210000000
ZEC,ZCash,Equihash,PoW,7383056.25,21000000
BTS,Bitshares,SHA-512,PoS,2741570000.0,3600570502
DGB,DigiByte,Multiple,PoW,11406219141.0,21000000000
BTCD,BitcoinDark,SHA-256,PoW/PoS,1288862.0,22000000
CRAIG,CraigsCoin,X11,PoS,,30000000
XBS,Bitstake,X11,PoW/PoS,0.0,1300000
XPY,PayCoin,SHA-256,PoS,11995334.8847328,12500000
PRC,ProsperCoin,Scrypt,PoW,5768310.0,21000000
YBC,YbCoin,Multiple,PoS,,200000000
DANK,DarkKush,X13,PoW/PoS,,3000000
GIVE,GiveCoin,X11,PoW,,500000000
KOBO,KoboCoin,X15,PoW/PoS,25542535.5881841,350000000
DT,DarkToken,NIST5,PoW/PoS,,0
CETI,CETUS Coin,Scrypt,PoW/PoS,,0
SPR,Spreadcoin,X11,PoW,11149733.9976203,20000000
WOLF,Insanity Coin,X11,PoW,,50000000
ACOIN,ACoin,SHA-256,PoW,0.0,1600000
AERO,Aero Coin,X13,PoS,0.0,7000000
ALF,AlphaCoin,Scrypt,PoW,,210182000
AGS,Aegis,X13,PoS,,0
AMC,AmericanCoin,Scrypt,PoW,,168000000
ALN,AlienCoin,Scrypt,PoW,,200000000
APEX,ApexCoin,X13,PoW/PoS,0.0,6000000
ARCH,ArchCoin,Scrypt,PoS,0.0,16403135
ARG,Argentum,Scrypt,PoW,12205795.4449549,64000000
ARI,AriCoin,Scrypt,PoW,,322649400
AUR,Aurora Coin,Scrypt,PoW/PoS,18135099.992959,16768584
BET,BetaCoin,SHA-256,PoW,0.0,32000000
BEAN,BeanCash,SHA-256,PoW/PoS,,50000000000
BLU,BlueCoin,Scrypt,PoW/PoS,635423900.0,0
BQC,BQCoin,Scrypt,PoW,,88000000
XMY,MyriadCoin,Multiple,PoW,1688254250.0,2000000000
MOON,MoonCoin,Scrypt,PoW,88.0,384000000000
ZET,ZetaCoin,SHA-256,PoW,170204389.754849,169795588
SXC,SexCoin,Scrypt,PoW,128940951.183046,250000000
QTL,Quatloo,Scrypt,PoW,7357794.7925,100000000
ENRG,EnergyCoin,Scrypt,PoW/PoS,123062801.128773,0
QRK,QuarkCoin,Quark,PoW,259557164.91477,247000000
RIC,Riecoin,Groestl,PoW,49548585.1412917,84000000
DGC,Digitalcoin ,Scrypt,PoW,33442988.3440364,48166000
LIMX,LimeCoinX,X11,PoW,0.0,21000000 
BTB,BitBar,Scrypt,PoW/PoS,42579.476901,500000
CAIX,CAIx,Scrypt,PoS,,0
BTMK,BitMark,Scrypt,PoW,0.0,27580000
BUK,CryptoBuk,Scrypt,PoW/PoS,,100000000
CACH,Cachecoin,Scrypt,PoW,,2000000000
CAP,BottleCaps,Scrypt,PoW/PoS,,47433600
CASH,CashCoin,Scrypt,PoW/PoS,0.0,47433600
CAT,Catcoin,Scrypt,PoW,7219956.64626131,21000000 
CBX,CryptoBullion,Scrypt,PoW/PoS,1039116.65144562,1000000
CCN,CannaCoin,Scrypt,PoW,4703879.51824446,13140000
CIN,CinderCoin,Multiple,PoW/PoS,0.0,114000000
CINNI,CINNICOIN,Scrypt,PoW,,15000000
CLR,CopperLark,SHA-256,PoW,,27200000
CMC,CosmosCoin,Scrypt,PoW/PoS,,100000000
CNC,ChinaCoin,Scrypt,PoW,,462500000
CNL,ConcealCoin,X11,PoW,,8500000
COMM,Community Coin,Scrypt,PoW/PoS,,1000000000
COOL,CoolCoin,Scrypt,PoS,0.0,100000000
CRACK,CrackCoin,X11,PoW,,6000000
CRYPT,CryptCoin,X11,PoW,4996986.20575291,18000000
CSC,CasinoCoin,Scrypt,PoC,39999997299.8568,40000000000
DEM,eMark,SHA-256,PoW/PoS,0.0,0
DMD,Diamond,Groestl,PoW/PoS,3304487.74735637,4380000
XVG,Verge,Multiple,PoW,15929530669.1206,16555000000
DRKC,DarkCash,X11,PoW/PoS,0.0,3720000
DSB,DarkShibe,Scrypt,PoW,0.0,2043962
DVC,DevCoin,SHA-256,PoW,18773857500.0,21000000000
EAC,EarthCoin,Scrypt,PoW,12539015186.822,13500000000
EFL,E-Gulden,Scrypt,PoW,20910478.8062499,21000000 
ELC,Elacoin,Scrypt,PoW,0.0,75000000
EMC2,Einsteinium,Scrypt,PoW,218871896.499999,299792458
EMD,Emerald,Scrypt,PoW,19496786.31025,32000000
EXCL,Exclusive Coin,PoS,PoS,5679705.0,0
EXE,ExeCoin,Scrypt,PoW,,21000000 
EZC,EZCoin,Scrypt,PoW,,84000000
FLAP,Flappy Coin,Scrypt,PoW,0.0,100000000000
FC2,Fuel2Coin,X11,PoS,0.0,100000000
FFC,FireflyCoin,SHA-256,PoW,,700000000000
FIBRE,FIBRE,NIST5,PoW/PoS,0.0,624000
FRC,FireRoosterCoin,SHA-256,PoW,0.0,2602410
FLT,FlutterCoin,Scrypt,PoS/PoW/PoT,461829905.32893,0
FRK,Franko,Scrypt,PoW,1142732.14912776,11235813
FRAC,FractalCoin,X11,PoW,,1000000
FSTC,FastCoin,Scrypt,PoW,,165888000
FTC,FeatherCoin,NeoScrypt,PoW,208669093.00773,336000000
GDC,GrandCoin,Scrypt,PoW,884125802.0,1420609614
GLC,GlobalCoin,Scrypt,PoW,65672720.4708748,70000000
GLD,GoldCoin,Scrypt,PoW,41658647.9999715,72245700
GLX,GalaxyCoin,Scrypt,PoW/PoS,,538214400
GLYPH,GlyphCoin,X11,PoW/PoS,0.0,7000000
GML,GameLeagueCoin,Scrypt,PoW/PoS,,500000000
GUE,GuerillaCoin,X11,PoW/PoS,,19500000
HAL,Halcyon,X15,PoW/PoS,0.0,0
HBN,HoboNickels,Scrypt,PoW/PoS,89266933.684704,120000000
HUC,HunterCoin,Multiple,PoW,0.0,42000000
HVC,HeavyCoin,Multiple,PoW,,128000000
HYP,HyperStake,X11,PoS,1678520090.7713,0
ICB,IceBergCoin,NIST5,PoW/PoS,,8750000
IFC,Infinite Coin,Scrypt,PoW,90595753018.6314,90600000000
IOC,IOCoin,X11,PoW/PoS,17650913.9743456,22000000
IXC,IXcoin,SHA-256,PoW,21089348.999,21000000
JBS,JumBucks Coin,X11,PoW/PoS,0.0,3293010
JKC,JunkCoin,Scrypt,PoW,,107000000
JUDGE,JudgeCoin,X13,PoW/PoS,0.0,21600000
KDC,Klondike Coin,Scrypt,PoW,,20000000
KEYC,KeyCoin,X13,PoW/PoS,,1000000
KGC,KrugerCoin,Scrypt,PoW,151447649.8,265420800
LK7,Lucky7Coin,Scrypt,PoW/PoS,,99792000
LKY,LuckyCoin,Scrypt,PoW,19326319.14375,20000000
LSD,LightSpeedCoin,NIST5,PoW/PoS,,900000
LTB,Litebar ,Scrypt,PoW,1104344.22938102,1350000
LTCD,LitecoinDark,Scrypt,PoW,0.0,82003200
LTCX,LitecoinX,X11,PoW,,84000000
LXC,LibrexCoin,X11,PoW/PoS,0.0,1000000
LYC,LycanCoin,Scrypt,PoW,,4950000000
MAX,MaxCoin,SHA3,PoW/PoS,61445805.0,100000000
MEC,MegaCoin,Scrypt,PoW,38151999.9930997,42000000
MED,MediterraneanCoin,HybridScryptHash256,PoW,40431856.9,200000000
MINRL,Minerals Coin,X11,PoW/PoS,,1000000
MINT,MintCoin,Scrypt,PoS,21293925445.4969,0
MN,Cryptsy Mining Contract,SHA-256,PoW,,0
MINC,MinCoin,Scrypt,PoW,5804204.88794916,10000000
MRY,MurrayCoin,Scrypt,PoW,,58000000
MZC,MazaCoin,SHA-256,PoW/PoS,1613836099.99999,2419200000
NAN,NanoToken,Scrypt,PoW,,80000000
NAUT,Nautilus Coin,Scrypt,PoS,16180000.0,16180000
NAV,NavCoin,X13,PoW/PoS,66087096.2077108,0
NBL,Nybble,Scrypt,PoW,,210000000
NMB,Nimbus Coin,X15,PoW/PoS,,25000000
NRB,NoirBits,SHA-256,PoW,0.0,50000000
NOBL,NobleCoin,Scrypt,PoW,2366066305.76482,15000000000
NRS,NoirShares,Scrypt,PoW/PoS,,5000000
NMC,Namecoin,SHA-256,PoW,14736400.0,21000000
NYAN,NyanCoin,Scrypt,PoW,334709223.483138,337000000
OPAL,OpalCoin,X13,PoW/PoS,15156364.3306548,0
ORB,Orbitcoin,NeoScrypt,PoW/PoS,3220616.279225,3770000
PHS,PhilosophersStone,Scrypt,PoW,,8891840
POT,PotCoin,Scrypt,PoW/PoS,222677226.014206,420000000
PSEUD,PseudoCash,X13,PoW/PoS,,2200000
PXC,PhoenixCoin,Scrypt,PoW/PoS,73959274.625,98000000
PYC,PayCoin,Scrypt,PoW/PoS,,30000000
RDD,Reddcoin,Scrypt,PoW/PoS,29315567169.0888,0
RIPO,RipOffCoin,Scrypt,PoW,0.0,12000000
RPC,RonPaulCoin,Scrypt,PoW,1104157.42169891,21000000
RT2,RotoCoin,Scrypt-n,PoW/PoS,,288000
RYC,RoyalCoin,Scrypt,PoW,,140000000
RZR,RazorCoin,Scrypt,PoW,,4000000
SAT2,Saturn2Coin,Scrypt,PoW,,15000000000
SBC,StableCoin,Scrypt,PoW,24215181.725,250000000
SFR,SaffronCoin,Multiple,PoW,,111000000
SHADE,ShadeCoin,Scrypt,PoW/PoS,,2000000
SHLD,ShieldCoin,X15,PoW/PoS,0.0,1000000
SILK,SilkCoin,Scrypt,PoW/PoS,0.0,1000000
SLG,SterlingCoin,X13,PoS,,0
SMC,SmartCoin,Scrypt,PoW,25593737.1355044,51200000
SOLE,SoleCoin,X15,PoW/PoS,,1200000
SPA,SpainCoin,Scrypt-n,PoW,0.0,50000000
SPOTS,Spots,Scrypt,PoW,,100000000
SRC,SecureCoin,Scrypt,PoW,0.0,21000000
SSV,SSVCoin,X13,PoW,,21000000
SUPER,SuperCoin,X11,PoS,50707661.7493518,0
SYNC,SyncCoin,X11,PoW/PoS,1177.0,1000
SYS,SysCoin,SHA-256,PoW,563336541.299966,888000000
TAG,TagCoin,Scrypt,PoW/PoS,,1000000
TAK,TakCoin,SHA-256,PoW/PoS,,7515187520
TES,TeslaCoin,Multiple,PoS,80260463.7331396,100000000
TGC,TigerCoin,SHA-256,PoW,43536800.0,47011968
TIT,TittieCoin,PHI1612,PoS,1622326490.46336,2300000000
TOR,TorCoin,X11,PoW/PoS,1431851.00002479,10000000
TRC,TerraCoin,SHA-256,PoW,22935396.0,42000000
TITC,TitCoin,Scrypt,PoW,,1000000
ULTC,Umbrella,SHA-256,PoW,0.0,2625000
UNB,UnbreakableCoin,SHA-256,PoW,2278150.0,80000000
UNO,Unobtanium,SHA-256,PoW,200911.79151896,250000
URO,UroCoin,X11,PoW,1207310.0,0
USDE,UnitaryStatus Dollar,Scrypt,PoW/PoS,1098952592.6,1600000000
UTC,UltraCoin,Scrypt,PoW/PoS,50235211.141939,100000000
UTIL,Utility Coin,X13,PoW/PoS,0.0,0
VDO,VidioCoin,X11,PoW/PoS,,0
VIA,ViaCoin,Scrypt,PoW,23150892.1679687,23000000
VOOT,VootCoin,X11,PoW,0.0,0
VRC,VeriCoin,Scrypt,PoST,32021108.4136696,0
VTC,Vertcoin,Lyra2REv2,PoW,51173723.8166347,84000000
WDC,WorldCoin,Scrypt,PoW,119606941.0,265420800
XAI,SapienceCoin,X11,PoB/PoS,,0
XBOT,SocialXbotCoin,Scrypt,PoW/PoS,0.0,2000000
XC,X11 Coin,X11,PoW/PoS,6950831.0970606,5500000
XCSH,Xcash,Scrypt,PoW/PoS,,2400000
XCR,Crypti,Multiple,PoS,100000000.0,0
XJO,JouleCoin,SHA-256,PoW,39195739.362088,45000000
XLB,LibertyCoin,X11,PoW/PoS,,16500000
XST,StealthCoin,X13,PoW/PoS,33093725.4123502,0
XXX,XXXCoin,Scrypt,PoW/PoS,0.0,50000000
YAC,YAcCoin,Scrypt,PoW,,2000000000
ZCC,ZCC Coin,Scrypt,PoW/PoS,147990237.978331,1000000000
ZED,ZedCoins,Scrypt,PoW,,120000000
BCN,ByteCoin,CryptoNight,PoW,184066828814.0,184467440735
EKN,Elektron,X13,PoW/PoS,,3000000
XDN,DigitalNote ,CryptoNight,PoW,6906587610.38292,10000000000
XAU,XauCoin,SHA-256,PoW,,2100000
BURST,BurstCoin,Shabal256,PoC,1813033920.0,2158812800
SJCX,StorjCoin,Counterparty,PoS,51173144.0,500000000
HUGE,BigCoin,Blake,PoW,,164429865
007,007 coin,Scrypt,PoW,,989800
MONA,MonaCoin,Scrypt,PoW,68194674.8711679,105120000
TEK,TekCoin,SHA-256,PoW/PoS,,100000000
NTRN,Neutron,SHA-256,PoW/PoS,39121694.0,68000000
SLING,Sling Coin,SHA-256,PoW,0.0,1000000
XSI,Stability Shares,Scrypt,PoW/PoS,,15000000
KTK,KryptCoin,Scrypt,PoS,0.0,17000000
FAIR,FairCoin,Groestl,PoW/PoS,53193831.0,0
NLG,Gulden,Scrypt,PoW,415032420.0,1680000000
RBY,RubyCoin,Scrypt,PoS,27184490.3918338,0
PTC,PesetaCoin,Scrypt,PoW,137517654.41397,166386000
KORE,Kore,X13,PoW/PoS,2022464.886973,12000000
WBB,Wild Beast Coin,Scrypt,PoW,181919.2435974,2628000
SSD,Sonic Screw Driver Coin,SHA-256,PoW/PoS,,0
NOTE,Dnotes,Scrypt,PoS,174646113.934655,500000000
FLO,Flo,Scrypt,PoW,152270664.860648,160000000
MMXIV,MaieutiCoin,SHA-256,PoS,0.0,2014
8BIT,8BIT Coin,Scrypt,PoW/PoS,1467841.0,0
STV,Sativa Coin,X13,PoW/PoS,7096834.0,10000000
AM,AeroMe,X13,PoW/PoS,0.0,12000000
NKT,NakomotoDark,X11,PoW/PoS,,0
GHC,GhostCoin,Scrypt,PoW/PoS,,750000000
ABY,ArtByte,Scrypt,PoW,792537250.0,1000000000
MTR,MasterTraderCoin,X11,PoW/PoS,0.0,10110000
BCR,BitCredit,Momentum,PoW,0.0,210000000
XPB,Pebble Coin,CryptoNight,PoW,,0
XDQ,Dirac Coin,Blake,PoW,,2272800
FLDC,Folding Coin,Stanford Folding,PoW,719416990.0,1000000000
SMAC,Social Media Coin,X11,PoW/PoS,,0
U,Ucoin,X11,PoS,2689812.0,20000000
UIS,Unitus,Multiple,PoW,65113302.0,0
CYP,CypherPunkCoin,QuBit,PoW,6365285.0,0
QBK,QuBuck Coin,X13,PoS/PoB,,0
MARYJ,MaryJane Coin,X15,PoW/PoS,0.0,0
OMC,OmniCron,Scrypt,PoW,10140044.4430293,3371337
GIG,GigCoin,X11,PoW,,0
CC,CyberCoin,Scrypt,PoW/PoS,0.0,0
VTR,Vtorrent,Scrypt,PoW/PoS,11604722.0,20000000
METAL,MetalCoin,Scrypt,PoW,,0
GRE,GreenCoin,Scrypt,PoW,4610340640.89,10000000000
XG,XG Sports,XG Hash,PoW/PoS,,0
CHILD,ChildCoin,X11,PoW,,2000000
MINE,Instamine Nuggets,Scrypt,PoW,,21649485
ROS,ROS Coin,X11,PoW/PoS,,0
UNAT,Unattanium,SHA-256,PoW,0.0,0
GAIA,GAIA Platform,X11,PoS,,24000000
XCN,Cryptonite,M7 POW,PoW,708506520.0,1840000000
GMC,Gridmaster,Scrypt,PoW,0.0,84000000
MMC,MemoryCoin,Multiple,PoW,,10000000
CYC,ConSpiracy Coin ,X11,PoW,0.0,33000000
MSC,MasterCoin,Scrypt,PoW,619478.0,619478
EGG,EggCoin,Scrypt,PoW/PoS,,3891
CAMC,Camcoin,X11,PoW/PoS,,10000000
RBR,Ribbit Rewards,Multiple,PoW,,1000000000
ICASH,ICASH,X11,PoW,,1000000
NODE,Node,Curve25519,PoA,,1000000000
SOON,SoonCoin,SHA-256,PoW,12462620.0,21000000
BTMI,BitMiles,Scrypt,PoW,,4832660000
EVENT,Event Token,Scrypt,PoW/PoS,,0
1CR,1Credit,Scrypt,PoW,88213.0,92000000000
VIOR,ViorCoin,Scrypt,PoW/PoS,0.0,0
VMC,VirtualMining Coin,Scrypt-n,PoW,,1000000
MARSC,MarsCoin,X11,PoW,,33000000
EQM,Equilibrium Coin,SHA-256,PoW/PoS,,0
ISL,IslaCoin,X11,PoW/PoS,1513704.0,0
QSLV,Quicksilver coin,X11,PoW,0.0,33000000
XNA,DeOxyRibose,X11,PoS,,0
SKB,SkullBuzz,SHA-256,PoS,,0
FCS,CryptoFocus,X11,PoW/PoS,,0
NXS,Nexus,SHA3,PoW/nPoS,63657220.0,78000000
EAGS,EagsCoin,X11,PoW/PoS,,20445500
MWC,MultiWallet Coin,X11,PoW/PoS,,0
MARS,MarsCoin ,X11,PoW,32221574.820996,33000000
XMS,Megastake,X11,PoW/PoS,,0
SIGU,Singular,Scrypt,PoW/PoS,0.0,0
M1,SupplyShock,X13,PoW/PoS,,0
DB,DarkBit,Scrypt,PoW/PoS,,0
CTO,Crypto,Lyra2RE,PoW,13742738.0,65789100
BITL,BitLux,X11,PoW/PoS,,0
FUTC,FutCoin,X13,PoW/PoS,,0
TAM,TamaGucci,Scrypt,PoW/PoS/PoC,,5300000
MRP,MorpheusCoin,X11,PoW,,3400000
XFC,Forever Coin,X11,PoS,,210000000
NANAS,BananaBits,Scrypt,PoW/PoS,,0
ACP,Anarchists Prime,SHA-256,PoW,14747200.0002,53760000
DRZ,Droidz,QUAIT,PoW/PoS,8568038.35935056,5060000
BSC,BowsCoin,X11,PoW,15863837.5,21000000
DRKT,DarkTron,SHA-256,PoW/PoS,,1500000
CIRC,CryptoCircuits,vDPOS,PoS,0.0,0
EPY,Empyrean,Scrypt,PoW,,100000
SQL,Squall Coin,X11,PoS/PoW,329200.01639,0
CHA,Charity Coin,Scrypt,PoW,,500000
MIL,Milllionaire Coin,X11,PoW/PoS,0.0,0
QTZ,Quartz,SHA-256,PoW/PoS,,0
SPC,SpinCoin,NIST5,PoW/PoS,,0
DUB,DubCoin,X15,PoW/PoS,,0
GRAV,Graviton,SHA-256,PoW/PoS,,0
HEDGE,Hedgecoin,X13,PoW,,33000000
SONG,Song Coin,Scrypt,PoW,32565300.0,210240000
XSEED,BitSeeds,SHA-256,PoW/PoS,,0
CHIP,Chip,X11,PoW,,0
SPEC,SpecCoin,Scrypt,PoW,,3000000000
SPRTS,Sprouts,SHA-256,PoW/PoS,,0
ZNY,BitZeny,Scrypt,PoW,75614500.0,250000000
DIGS,Diggits,Scrypt,PoS,100000000.0,100000000
EXP,Expanse,Ethash,PoW,10495278.0,16906397
MAPC,MapCoin,X11,PoS,0.0,2228921.184
CON,Paycon,X13,PoW/PoS,23042604.0,50000000
SC,Siacoin,Blake2b,PoW,33098296530.0,0
LYB,LyraBar,Lyra2RE,PoW/PoS,,0
EMC,Emercoin,SHA-256,PoW/PoS,43059794.804778,1000000000
BLITZ,BlitzCoin,X13,PoS,0.0,3852156
BHIRE,BitHIRE,Scrypt,PoS,,42000000
EGC,EverGreenCoin,X15,PoW/PoS,13530556.4180753,26298000
MND,MindCoin,X11,PoW,15867695.0,16000000
I0C,I0coin,SHA-256,PoW,20997476.8650231,21000000
DCR,Decred,BLAKE256,PoW/PoS,10365046.9281661,21000000
DOGED,DogeCoinDark,Scrypt,PoW,0.0,16500000000
RVR,Revolution VR,Scrypt,PoW,210000000.0,210000000
HODL,HOdlcoin,1GB AES Pattern Search,PoW,11448949.0,81962100
EDRC,EDRCoin,SHA-256,PoW/PoS,3669691.84494672,22000000
HTC,Hitcoin,X11,PoW/PoS,10996318099.0,26550000000
GAME,Gamecredits,Scrypt,PoW,69836100.0,84000000
DSH,Dashcoin,CryptoNight,PoW,0.0,18446744
DBIC,DubaiCoin,SHA-256,PoW/PoS,5129014.0,10500000
BIOS,BiosCrypto,Quark,PoW/PoS,0.0,20190463.54969237
DIEM,CarpeDiemCoin,SHA-256,PoW,21739971929.0,21626280000 
RCX,RedCrowCoin,Scrypt,PoW/PoS,,3966666667
PWR,PWR Coin,NIST5,PoW/PoS,10069449031.9252,0
TRUMP,TrumpCoin,Blake,PoS,0.0,12000000
BLRY,BillaryCoin,Scrypt,PoW/PoS,8998743.2411911,42000000
ETHS,EthereumScrypt,Scrypt,PoW/PoS,0.0,4200000
PXL,Phalanx,SHA-256,PoW,0.0,15000000
SOUL,SoulCoin,Scrypt,PoW/PoS,,1400000000
SSTC,SunShotCoin,X11,PoW,0.0,2250000000
GPU,GPU Coin,Scrypt,PoS,40477042.0,221052632
TAGR,Think And Get Rich Coin,X15,PoW/PoS,,30700000
HMP,HempCoin,Scrypt-n,PoW,0.0,5000000000
ADZ,Adzcoin,X11,PoW,45110324.0,84000000
MYC,MayaCoin,Scrypt,PoW/PoS,,250000000
VTA,VirtaCoin,Scrypt,PoW,0.0,21000000000
SOIL,SoilCoin,Dagger,PoW,5702048.0,30000000
YOC,YoCoin,Scrypt,PoW,636462.55983338,168351300
UNIT,Universal Currency,SHA-256,PoW/PoS,0.0,210000000
AEON,AEON,CryptoNight-Lite,PoW,0.0,18400000
SIB,SibCoin,X11GOST,PoW,17263355.0,24000000
ERC,EuropeCoin,X11,PoW/PoS,10407269.7881868,384000000
AIB,AdvancedInternetBlock,Scrypt,PoW,,314159265359
XDB,DragonSphere,X11,PoW/PoS,,21007600
ANTI,Anti Bitcoin,SHA-256,PoW,0.0,42000000
COLX,ColossusCoinXT,X11,PoS,,21000000000
MNM,Mineum,X13,PoW/PoS,,10000000
ZEIT,ZeitCoin,Scrypt,PoS,36971236046.8073, 99000000000
CGA,Cryptographic Anomaly,Scrypt,PoW,,10000000000
SWING,SwingCoin,SHA-256,PoW/PoS,4377081.60953993,40000000
SAFEX,SafeExchangeCoin,Scrypt,PoC,2147483647.0,2147483647
NEBU,Nebuchadnezzar,PoS,PoS,20000000.0,20000000
AEC,AcesCoin,X11,PoS,,98000000
FRN,Francs,Scrypt,PoW,6570807.65677618,20000000
ADNT,Aiden,ScryptOG,PoW,84000000.0,84000000
N7,Number7,Scrypt,PoW,,270967742
CYG,Cygnus,X11,PoW/PoS,,25885320
LGBTQ,LGBTQoin,X11,PoW,,50000000
UTH,Uther,Dagger,PoW,,25885320
MPRO,MediumProject,PoS,PoW,,250000
KATZ,KATZcoin,SHA-256D,PoW/PoS,,100000000
SPM,Supreme,Scrypt,PoW/PoS,,88900000
FLX,Flash,Scrypt,PoW/PoS,,1000000
BOLI,BolivarCoin,X11,PoW,13654082.4987998,25000000
CLUD,CludCoin,Scrypt,PoW,,100200000
HVCO,High Voltage Coin,SHA-256,PoW/PoS,,1700000
GIZ,GIZMOcoin,X11,PoW/PoS,0.0,100000
FUZZ,Fuzzballs,Scrypt,PoW,,21000000
SCRT,SecretCoin,X11,PoW/PoS,0.0,21000000
XRA,Ratecoin,X11,PoW/PoS,134554941.15119,75000000
XNX,XanaxCoin,Scrypt,PoW,,42000000
DBG,Digital Bullion Gold,PoS,PoS,0.0,15000000
WMC,WMCoin,X11,PoS,,1000000000
GOTX,GothicCoin,Scrypt,PoW,,313333333
SHREK,ShrekCoin,Scrypt,PoW/PoS,,1246000000
REV,Revenu,SHA-256,PoW/PoS,1195525.0,222725000
PBC,PabyosiCoin,X11,PoW/PoS,,31500000000
OBS,Obscurebay,X11,PoW/PoS,,6562000
EXIT,ExitCoin,Scrypt,PoW/PoS,,756000000
EDUC,EducoinV,Scrypt,PoW/PoS,,99000000
CLINT,Clinton,SHA-256,PoW,0.0,2421227
CKC,Clockcoin,SHA-256,PoW/PoS,16662820.0,525000000
VIP,VIP Tokens,NIST5,PoW/PoS,83450403.0,90000000
NXE,NXEcoin,NIST5,PoW/PoS,,2200000
ZOOM,ZoomCoin,Lyra2RE,PoW,,250000
YOVI,YobitVirtualCoin,SHA-256,PoS,,22830000
ORLY,OrlyCoin,X15,PoW/PoS,0.0,36000000
KUBOS,KubosCoin,Scrypt,PoW/PoS,,986898568551
SAK,SharkCoin,SHA-256,PoW,,400000000
EVIL,EvilCoin,X11,PoW/PoS,,21024000
COX,CobraCoin,Scrypt,PoW/PoS,,1012941176
BSD,BitSend,X11,PoW/PoS,24387724.5010828,139000000
DES,Destiny,Scrypt,PoW/PoS,,212625
BIT16,16BitCoin,NIST5,PoW/PoS,0.0,16000000
CMTC,CometCoin,Scrypt,PoW,,2000000
CHESS,ChessCoin,Scrypt,PoW/PoS,0.0,74666667
REE,ReeCoin,Scrypt,PoW/PoS,0.0,350000000
MARV,Marvelous,Scrypt,PoW,,400000000
OMNI,Omni,Scrypt,PoW,616448.0,616448
TRTK,TrollTokens,SHA-256,PoW/PoS,,860000000
LIR,Let it Ride,POS 3.0,PoS,38589808.6658096,33500000
SCRPT,ScryptCoin,Scrypt,PoW,,34181818
SPCIE,Specie,PoS,PoS,,9000000
CJ,CryptoJacks,X13,PoW/PoS,,500000000
PUT,PutinCoin,Scrypt,PoW/PoS,813092338.575672,2000000000
KRAK,Kraken,SHA-256,PoW/PoS,,20 000 000
IBANK,iBankCoin,Scrypt,PoW/PoS,4526324.0,44333333
WRLGC,World Gold Coin,SHA-256,PoW,,51000000
BM,BitMoon,X13,PoS,,100000000
FRWC,Frankywillcoin,Scrypt,PoW/PoS,100000000.0,100000000
PSY,Psilocybin,SHA-256D,PoW/PoS,,4214600
RUST,RustCoin,Scrypt,PoW/PoS,,21212121
NZC,NewZealandCoin,Scrypt,PoW,,335800000
