Unnamed: 0,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
XPOKE,PokeChain,X13,PoS,,75000000
MUDRA,MudraCoin,X13,PoS,5000000.0,200000000
PIZZA,PizzaCoin,X11,PoW,1377917.0,25000000
LC,Lutetium Coin,X11,PoS,657000000.0,657000000
EXB,ExaByte (EXB),SHA-256,PoW,,500000000
KMD,Komodo,Equihash,dPoW/PoW,115898131.0,200000000
GB,GoldBlocks,X11,PoW/PoS,15563873.0,50000000
EDC,EDC Blockchain,SHA-256,DPoS/LPoS,,5352058721.530
WAY,WayCoin,X11,PoS,0.0,100000000
TAB,MollyCoin,Scrypt,PoW/PoS,,25000000
STO,Save The Ocean,X11,PoW/PoS,,150000000
CTC,CarterCoin,Scrypt,PoW/PoS,43165500.0,90000000
TOT,TotCoin,Scrypt,PoW/PoS,,1613150000
MDC,MedicCoin,Scrypt,PoW/PoS,,33000000
FTP,FuturePoints,X11,PoS,,360000000
ZET2,Zeta2Coin,Quark,PoW/PoS,,1200000
CVNC,CovenCoin,SHA-256,PoW/PoS,,33000
KRB,Karbo,CryptoNight,PoW,7822432.72439746,10000000
TELL,Tellurion,X11,PoW/PoS,,3652422000
BXT,BitTokens,SHA-256,PoW/PoS,595429.0,21000000
ZYD,ZayedCoin,SHA-256,PoW,6243840.0,9736000
MST,MustangCoin,X11,PoW/PoS,657636.34549789,3000000
GOON,Goonies,Scrypt,PoW,,270875968
ZNE,ZoneCoin,Scrypt,PoW/PoS,2581970.0,21000000
COVAL,Circuits of Value,Multiple,PoW,1000000000.0,1200000000
DGDC,DarkGold,X13,PoW/PoS,,1000000
TODAY,TodayCoin,Scrypt,PoW,,39200000
ROOT,RootCoin,Scrypt,PoW/PoS,1939889.0,0
DOPE,DopeCoin,Scrypt,PoW,116845228.0,200000000
FX,FCoin,Scrypt,PoW/PoS,,987600000
PIO,Pioneershares,X11,PoW/PoS,,200000
PROUD,PROUD Money,X11,PoW/PoS,0.0,10000000000
SMSR,Samsara Coin,QuBit,PoW/PoS,,60000000
UBIQ,Ubiqoin,Progressive-n,PoS,,500000000
ARM,Armory Coin,Scrypt,PoW/PoS,,1990000000
RING,RingCoin,Scrypt,PoW/PoS,,1900000000
LAZ,Lazarus,DPoS,DPoS,,10000000
BTCR,BitCurrency,Scrypt,PoS,169598616.0,0
FCTC,FaucetCoin,X13,PoS,,10000
MOOND,Dark Moon,Scrypt,PoW/PoS,,420000000
DLC,DollarCoin,SHA-256,PoW,9106714.0,10638298
SCN,Swiscoin,Scrypt,PoW/PoW,665200057.0,3100000000
BRONZ,BitBronze,Scrypt,PoW,,4502400
SH,Shilling,Scrypt,PoW,11119200.0,30000000
BUZZ,BuzzCoin,SHA-256D,PoW/PoS,19577787259.0,20000000000
MG,Mind Gene,SHA-256,PoW/PoS,,7500000000
PSI,PSIcoin,X11,PoS,,696969
XPO,Opair,PoS,PoS,74033806.7949683,74000000
PSB,PesoBit,Scrypt,PoW/PoS,33522957.0,0
FIT,Fitcoin,X11,PoW/PoS,,90000000
PINKX,PantherCoin,Scrypt,PoW/PoS,,735000000
UNF,Unfed Coin,Scrypt,PoW,,67000000
SPORT,SportsCoin,X11,PoS,,20000000
NTC,NineElevenTruthCoin,Scrypt,PoW/PoS,,130528084
EGO,EGOcoin,PoS,PoS,,60000000
GBRC,GBR Coin,Scrypt,PoW,0.0,87500000
HALLO,Halloween Coin,X11,PoW/PoS,264678458.288619,1500000000
BBCC,BaseballCardCoin,Scrypt,PoW/PoS,,19000000
EMIGR,EmiratesGoldCoin,SHA-256,PoW,,4000000
BHC,BighanCoin,Quark,PoW,,411000000
CRAFT,Craftcoin,Scrypt,PoW/PoS,,49411760
OLYMP,OlympCoin,X11,PoW/PoS,,50000000
DPAY,DelightPay,X13,PoW/PoS,,90400000
ANTC,AntiLitecoin,Scrypt,PoW,,84000000
JOBS,JobsCoin,X11,PoW/PoS,,20000000000
DGORE,DogeGoreCoin,X11,PoW/PoS,,500000000
RMS,Resumeo Shares,NIST5,PoS,,9188302
FJC,FujiCoin,Scrypt-n,PoW,0.0,10000000
VAPOR,Vaporcoin,SHA-256,PoW/PoS,,2000000
XZC,ZCoin,Lyra2Z,PoW,7568281.24956067,21400000
PRE,Premium,Scrypt,PoW,,20000000
CALC,CaliphCoin,SHA-256,PoW,,135000000
LEA,LeaCoin,SHA-256,PoW,0.0,2000000000
CF,Californium,SHA-256,PoW,,2520000
CFC,CoffeeCoin,PoS,PoS,148716816.0,39999898
BS,BlackShadowCoin,X11,PoW/PoS,,2100000000
JIF,JiffyCoin,SHA-256D,PoW,,5108400
MONETA,Moneta,Scrypt,PoW,,184000000
RUBIT,Rublebit,Scrypt,PoW,,100000000
HCC,HappyCreatorCoin ,Scrypt,PoW,,100100400000
BRAIN,BrainCoin,X11,PoW/PoS,,22000000
ROYAL,RoyalCoin,X13,PoS,2500124.0,2500124
LFC,BigLifeCoin,X11,PoW,,9900000000
ZUR,Zurcoin,Quark,PoW,0.0,126000000
PEC,PeaceCoin,X11,PoW,,700000000
GMX,Goldmaxcoin,Scrypt,PoW,,84078950
32BIT,32Bitcoin,X11,PoW/PoS,,355000
GNJ,GanjaCoin V2,X14,PoW/PoS,100000000.0,100000000
TEAM,TeamUP,PoS,PoS,17818682.1654,301000000
SCT,ScryptToken,Scrypt,PoW/PoS,,8842105
LANA,LanaCoin,SHA-256D,PoW/PoS,1082162635.53683,7506000000
ELE,Elementrem,Ethash,PoW,26205539.0,26205539
GCC,GuccioneCoin,Scrypt,PoW,,39760000
EQUAL,EqualCoin,X13,PoW/PoS,,1000000000
2BACCO,2BACCO Coin,Scrypt,PoW/PoS,,81454545
DKC,DarkKnightCoin,Scrypt,PoW/PoS,,24000000
COC,Community Coin,SHA-256,PoW,,36129032
CHOOF,ChoofCoin,Scrypt,PoW/PoS,,40000000
CSH,CashOut,SHA-256,PoW,0.0,100000000
ZCL,ZClassic,Equihash,PoW,5613550.0,21000000
RYCN,RoyalCoin 2.0,X13,PoS,,2500124
PCS,Pabyosi Coin,X11,PoW/PoS,,31500000000
NBIT,NetBit,Scrypt,PoW/PoS,,10.500.000
WINE,WineCoin,Scrypt,PoW/PoS,,1744000000
ARK,ARK,DPoS,DPoS,108202084.0,125000000
ZECD,ZCashDarkCoin,Scrypt,PoW,,500000000
WASH,WashingtonCoin,X11,PoW/PoS,,170000000
LUCKY,LuckyBlocks,PoS,PoS,,20000000
INSANE,InsaneCoin,X11,PoW/PoS,18342813.0,30000000
BASH,LuckChain,Scrypt,PoW/PoS,0.0,1000000000
FAME,FameCoin,QuBit,PoW/PoS,,50000000
LIV,LiviaCoin,Scrypt,PoW/PoS,,1572000000
DOGETH,EtherDoge,X11,PoW/PoS,,18100000
KLC,KiloCoin,Scrypt,PoW,196297971.0,10000000000
HUSH,Hush,Equihash,PoW,0.0,21000000
BTLC,BitLuckCoin,PoS,PoS,,5000000000
DRM8,Dream8Coin,Scrypt,PoW,,88800000000
EBZ,Ebitz,PoS,PoS,,21000000
FGZ,Free Game Zone,Scrypt,PoW,,44775520
BOSON,BosonCoin,X11,PoW/PoS,,5000000000
ATX,ArtexCoin,X11,PoW,824000000.0,500000000
PNC,PlatiniumCoin,SHA-256,PoW,,21000000
BRDD,BeardDollars,Scrypt,PoW/PoS,,21212121
BIPC,BipCoin,CryptoNight,PoW,,18446744
XNC,XenCoin,Scrypt,PoW,,2100000000
EMB,EmberCoin,X13,PoW/PoS,92192822723.0,850000000
BTTF,Coin to the Future,PoS,PoS,,1210000
DLR,DollarOnline,X11,PoW/PoS,,1000000000
XEN,XenixCoin,X11,PoW/PoS,3853326.77707314,3853326.77707314
IW,iWallet,X11,PoW/PoS,,2142857142.86
FRE,FreeCoin,PoS,PoS,50000000.0,50000000
NPC,NPCcoin,SHA-256D,PoW/PoS,0.0,7000000000
PLNC,PLNCoin,Scrypt,PoW/PoS,17089600.0,38540000 
DGMS,Digigems,Scrypt,PoW,,50000000
ICOB,Icobid,Scrypt,PoW/PoS,0.0,200000000 
ARCO,AquariusCoin,Scrypt,PoW/PoS,2449577.41533168,42000000
KURT,Kurrent,X11,PoW,61364813.0,228000000
XCRE,Creatio,PoS,PoS,20000000.0,20000000
ENT,Eternity,X11,PoW/PoS,6069482.07721352,60000000
MTLM3,Metal Music v3,Scrypt,PoW/PoS,,2500000000
ODNT,Old Dogs New Tricks,SHA-256D,PoW/PoS,,21000000
EUC,Eurocoin,SHA-256,PoW/PoS,12416554.0,20000000
CCX,CoolDarkCoin,Scrypt,PoW/PoS,,11052632
BCF,BitcoinFast,Scrypt,PoW/PoS,20244023.640728,33000000
SEEDS,SeedShares,SHA-256D,PoW/PoS,,7996400
XSN,Stakenet,X11,TPoS,75590369.0,76500000
BCCOIN,BitConnect Coin,Scrypt,PoW/PoS,11080722.3769581,28000000
SHORTY,ShortyCoin,PoS,PoS,,100000000
PCM,Procom,Scrypt,PoW,,28000000
CORAL,CoralPay,X13,PoS,,21000000
MONEY,MoneyCoin,Scrypt,PoW/PoS,10914418.0,650659833
HSP,Horse Power,Scrypt,PoW,,2900000
HZT,HazMatCoin,Scrypt,PoW/PoS,,100000000
CRSP,CryptoSpots,DPoS,DPoS,,0
ICON,Iconic,PoS,PoS,,520000
NIC,NewInvestCoin,PoS,PoS,,47090909
ACN,AvonCoin,PoS,PoS,,1000000000
XNG,Enigma,X11,PoW/PoS,814671.0,5000000
XCI,Cannabis Industry Coin,CryptoNight,PoW,978145.0,21000000
LOOK,LookCoin,X11,PoW/PoS,,1613150000
MIS,MIScoin,X11,PoW/PoS,,25000000
WOP,WorldPay,X11,PoW/PoS,,10000000
CQST,ConquestCoin,X13,PoW/PoS,,30000000
CHIEF,TheChiefCoin,Scrypt,PoW/PoS,,2500000000
RC,Russiacoin,Scrypt,PoW/PoS,8377873.0,144000000
PND,PandaCoin,Scrypt,PoS,33813143821.8337,32514916898
ECAD,Canada eCoin,Scrypt,PoW,,100000000
OPTION,OptionCoin,X11,PoS,,21000000
AV,Avatar Coin,PoS,PoS,,10000000
LTD,Limited Coin,PoS,PoS,,128
UNITS,GameUnits,Scrypt,PoW/PoS,3472983.0,13000000
GAKH,GAKHcoin,Scrypt,PoW/PoS,3315789.0,3315789
S8C,S88 Coin,Scrypt,PoW/PoS,,520000000
ASAFE2,Allsafe,Quark,PoS,10517772.7391666,15000000
LTCR,LiteCreed,QuBit,PoW/PoS,30227750.0,78835200
XPRO,ProCoin,X15,PoW/PoS,,6000000
ASTR,Astral,X13,PoW/PoS,,37875500
GIFT,GiftNet,X13,PoW,,6750000
VIDZ,PureVidz,PoS,PoS,,125000000
INC,Incrementum,PoS,PoS,,1300000
PTA,PentaCoin,SHA-256,PoW/PoS,, 1311955 
ACID,AcidCoin,SHA-256,PoW,,4500000000
RNC,ReturnCoin,X11,PoS,,250000000
TWIST,TwisterCoin,X11,PoW/PoS,,3195000
PAYP,PayPeer,X11,PoW/PoS,,50000000000
LENIN,LeninCoin,SHA-256D,PoW,,100000000
MRSA,MrsaCoin,X13,PoW/PoS,,2100000000
OS76,OsmiumCoin,Scrypt,PoW,894026.0,2714286
BIC,Bikercoins,CryptoNight,PoW,9357088.0,25000000
CRPS,CryptoPennies,X11,PoS,,1593.15
NTCC,NeptuneClassic,X11,PoW/PoS,0.0,250000000
HXX,HexxCoin,Lyra2RE,PoW,1876146.443596,9999999
SPKTR,Ghost Coin,SHA-256,PoW/PoS,,2270000
MAC,MachineCoin,Time Travel,PoW,,35000000
SEL,SelenCoin,PoS,PoS,,159680000
NOO,Noocoin,PoS,PoS,,25000000
CHAO,23 Skidoo,SHA-256D,PoW,,23
XGB,GoldenBird,X13,PoW/PoS,0.0,450000000
YMC,YamahaCoin,Scrypt,PoW,,315000000
JOK,JokerCoin,Scrypt,PoW/PoS,,5000000000
GBIT,GravityBit,Scrypt,PoW/PoS,,5333000
TEC,TeCoin,Multiple,PoW,,469521976
BOMBC,BombCoin,Scrypt,PoW/PoS,,4516129032
RIDE,Ride My Car,PoS,PoS,0.0,100000000
KED,Klingon Empire Darsek,Scrypt,PoW/PoS,23965372.0,500000000
IOP,Internet of People,SHA-256,PoW/PoS,2526078.47525448,21000000
ELS,Elysium,Scrypt,PoW,,18000000
KUSH,KushCoin,X11,PoW/PoS,5659096.95728771,9354000
ERY,Eryllium,X11,PoW/PoS,0.0,100000000
OPES,Opes,Argon2,PoW,,52000000
RATIO,Ratio,PoS,PoS,,100000000
SMF,SmurfCoin,Scrypt,PoW/PoS,,2500000000
TECH,TechCoin,X13,PoW/PoS,,300000
CIR,CircuitCoin,SHA-256D,PoW/PoS,,3125000000
LEPEN,LePenCoin,SHA-256,PoS,,1000000000
MARX,MarxCoin,X11,PoW,0.0,100640000
HAZE,HazeCoin,Scrypt,PoW,,25000000
PRX,Printerium,Scrypt,PoW/PoS,11821728.0,20000000
PAC,PacCoin,X11,PoW,536982074.0,100000000000
IMPCH,Impeach,Scrypt,PoW/PoS,308179.0,21933333
ERR,ErrorCoin,Scrypt,PoW,,81000000
TIC,TrueInvestmentCoin,Scrypt,PoW/PoS,,53200000
NUKE,NukeCoin,PoS,PoS,,2778196
SFC,Solarflarecoin,Scrypt,PoW,0.0,20000000
JANE,JaneCoin,X11,PoW/PoS,,2100000000
PARA,ParanoiaCoin,Scrypt,PoW,,72000000
MM,MasterMint,X11,PoS,,1500000000
CTL,Citadel,CryptoNight-V7,PoW,10969318.522954,185000000
ZBC,Zilbercoin,Scrypt,PoS,2922613.96424908,55000000
FRST,FirstCoin,Scrypt,PoW/PoS ,110000000.0,110000000
ORO,OroCoin,Scrypt,PoW,,23529412
ALEX,Alexandrite,SHA-256,PoW/PoS,,1268000
TBCX,TrashBurn,SHA-256D,PoS,,9000000
MCAR,MasterCar,Scrypt,PoW/PoS,,2991837
THS,TechShares,DPoS,DPoS,,600000000
ACES,AcesCoin,X13,PoS,,100000000
UAEC,United Arab Emirates Coin,X11,PoW/PoS,,10000000
EA,EagleCoin,SHA-256,PoW,,40000000
CREA,CreativeChain,Keccak,PoW,0.0,115000000
BVC,BeaverCoin,Scrypt,PoW,3115258.0,3360000
FIND,FindCoin,X13,PoS,14524851.4827,14524851.4827
MLITE,MeLite,SHA-256D,PoW/PoS,,1.000.000
STALIN,StalinCoin,X11,PoW/PoS,,3000000000
TSE,TattooCoin,Scrypt,PoW/PoS,,500000000
VLTC,VaultCoin,X11,PoW,30385540.0,1000000000
BIOB,BioBar,SHA-256D,PoW/PoS,,60000000
ZER,Zero,Equihash,PoW,6921653.89980891,17000000
CHAT,OpenChat,Scrypt,PoW/PoS,1000000000.0,1000000000
CDN,Canada eCoin,Scrypt,PoW,99843408.3158479,100000000 
ZOI,Zoin,Lyra2RE,PoW,18545757.5,21000000
HONEY,Honey,Blake2S,PoW/PoS,,7000000
MXT,MartexCoin,X13, PoW/PoS,,5000000
MUSIC,Musicoin,Ethash,PoW,0.0,454898394
VEG,BitVegan,PoS,PoS,,600000000
MBIT,Mbitbooks,Scrypt,PoW,,81000000
ZENI,Zennies,Scrypt,PoS,,1000000000
PLANET,PlanetCoin,Scrypt,PoW/PoS,,1000000
DUCK,DuckDuckCoin,Scrypt,PoW,,121
BNX,BnrtxCoin,X11,PoW,0.0,210000000
RNS,RenosCoin,Scrypt,PoS,36050365.0,34426423
DBIX,DubaiCoin,Dagger-Hashimoto,PoW,2232901.0,2232901
XVP,VirtacoinPlus,X11,PoW/PoS,13162749.0858027,100000000
BOAT,Doubloon,536,PoW/PoS,,500000000
TAJ,TajCoin,Blake2S,PoW/PoS,12184195.9258495,36900000
IMX,Impact,X11,PoW/PoS,110630387.850471,110000000
CJC,CryptoJournal,PoS,PoS,,100000000
AMY,Amygws,Scrypt,PoW,,23333333
QBT,Cubits,SHA-256,PoW/PoS,,300000000
EB3,EB3coin,Scrypt,PoW,64096052.0,4000000000
XVE,The Vegan Initiative,PoS,PoS,,50000000
APT,Aptcoin,Scrypt-n,PoW,,42000000
BLAZR,BlazerCoin,Scrypt,PoW,,294336000
UNI,Universe,Scrypt,PoS,0.0,112000000
ECOC,ECOcoin,Scrypt,PoW/PoS,,10733333
DARK,Dark,SHA-256,PoW/PoS,,12800000
DON,DonationCoin,Scrypt,PoW,,90000000
ATMOS,Atmos,PoS,PoS,111135836.889,110290030
HPC,HappyCoin,X11,PoW/PoS,21521322.0099142,100000000
CXT,Coinonat,NIST5,PoW,10123200.0,48252000
MCRN,MacronCoin,PoS,PoS,401421401.0,400000000
RAIN,Condensate,X11,PoW/PoS,121665451.643876,500000000
IEC,IvugeoEvolutionCoin,Scrypt,PoW,,100000000
IMS,Independent Money System,Scrypt,PoW/PoS,5368934.0,21212121
ARGUS,ArgusCoin,Scrypt,PoW/PoS,1148324.0,28600000
LMC,LomoCoin,Scrypt,PoW/PoS,500000.0,1000000000
BTCS,Bitcoin Scrypt,Scrypt,PoW,0.0,21000000
PROC,ProCurrency,SHA-256,PoS,100545745.0,75000000000
XGR,GoldReserve,X11,PoW/PoS,17171382.0,40000000
BENJI,BenjiRolls,Scrypt,PoW,20276099.146524,35520400
DUO,ParallelCoin,Scrypt,PoW,0.0,1000000
GRW,GrowthCoin,Scrypt,PoS,295135466.361878,2000000000
ILC,ILCoin,SHA-256,PoW,1317747500.0,2500000000
PZM,Prizm,SHA-256,PoS,,600000000000000
PHR,Phreak,PoS,PoS,11390225.9742772,30000000
PUPA,PupaCoin,Blake2S,PoW/PoS,,3500000000
RICE,RiceCoin,X13,PoW/PoS,,10000000
XCT,C-Bits,SHA-256,PoW,,210000000
DEA,Degas Coin,Scrypt,PoW/PoS,21358764.0,105000000
ZSE,ZSEcoin,X11,PoW/PoS,0.0,2093500000
TAP,TappingCoin,X11,PoW/PoS,,5000000000
MUU,MilkCoin,SHA-256,PoW/PoS ,,4500000000
INF8,Infinium-8,CryptoNight,PoW,,0
HTML5,HTML5 Coin,X15,PoW/PoS,40659020000.0,90000000000
SBSC,Subscriptio,PoS,PoS,,10000000
USC,Ultimate Secure Cash,SHA-256,PoS,10343113.0,200084200
DUX,DuxCoin,Scrypt,PoW/PoS,,1680000000
XPS,PoisonIvyCoin,Scrypt,PoW/PoS,,4666666667
EQT,EquiTrader,Scrypt,PoW,13673406.4325268,72000000
MNTC,Manet Coin,Scrypt,PoW/PoS,,215000000
HAMS,HamsterCoin,Scrypt,PoW,,20000000
QTUM,QTUM,POS 3.0,PoS,100000000.0,100000000
NEF,NefariousCoin,Scrypt,PoW/PoS,,4835000000
QRL,Quantum Resistant Ledger,CryptoNight-V7,PoW,69036016.8340164,105000000
ESP,Espers,536,PoW/PoS,22801882871.0,50000000000
DYN,Dynamic,Argon2d,PoW,19784224.6512734,0
NANO,Nano,Blake2b,PoW,133248297.0,340282367
CHAN,ChanCoin,Cloverhash,PoW,18407259.0885883,30000000
DCY,Dinastycoin,CryptoNight,PoW,1809467143.0,2000000000
DNR,Denarius,NIST5,PoW/PoS,4171382.0,10000000
DP,DigitalPrice,X11,PoW,35138975.0,100000000
VUC,Virta Unique Coin,NIST5,PoW/PoS,62942075.0,120000000
BTPL,Bitcoin Planet,Skein,PoW/PoS,6804362.0,100000000
UNIFY,Unify,Scrypt,PoW,18133195.0,19276800
BRIT,BritCoin,X13,PoW/PoS,21268092.0,30000000
SOCC,SocialCoin,Scrypt,PoW,5167775.0, 75000000
OTX,Octanox,X11,PoW/PoS,0.0,7905634
ARC,ArcticCoin,X11,PoW,26042364.3735553,60000000
BOG,Bogcoin,SHA-256,PoW,,21212121
SAND,BeachCoin,X11,PoW,,21000000
DAS,DAS,X11,PoW,2622886.0,18900000
LINDA,Linda,Scrypt,PoW/PoS,9044930943.24243,50000000000
XLC,LeviarCoin,CryptoNight,PoW,14161803.0,54000000
ONION,DeepOnion,X13,PoW/PoS,21917018.0492836,18898187.6216583
BTX,Bitcore,Time Travel,PoW,17801865.1605478,21000000
GCN,gCn Coin,Scrypt,PoW,163055097500.0,200000000000
SMART,SmartCash,Keccak,PoW,2241009149.22257,5000000000
SIGT,Signatum,SkunkHash v2 Raptor,PoS,107972766.0,137500000
ONX,Onix,X11,PoW,122475638.389743,1100000000
WINK,Wink,PoS,PoS,,80000000
CRM,Cream,Skein,PoW/PoS,47331802.4774238,100000000
BCH,Bitcoin Cash,SHA-256,PoW,17995589.6469082,21000000
BMXT,Bitmxittz,Scrypt,PoW/PoS,,10000
XMCC,Monoeci,X11,PoW/PoS,12569262.5359307,9507271
CMPCO,CampusCoin,Scrypt,PoW,0.0,1010000000
DFT,Draftcoin,Scrypt,PoS,18663297.3489799,17405891.19707116
VET,Vechain,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466
SOJ,Sojourn Coin,Scrypt,PoW,485214.0,10500000000
STCN,Stakecoin,PoS,PoS,4000000.0,61599965
NYC,NewYorkCoin,Scrypt,PoW,143006669741.687,0
LBTC,LiteBitcoin,Scrypt,PoW,0.0,1000000000
FRAZ,FrazCoin,Scrypt,PoW,9704042.0,20000000
KRONE,Kronecoin,Scrypt,PoW,17453749.4042601,84000000
ACC,AdCoin,Scrypt,PoW,32646731.063036,100000000
LINX,Linx,Scrypt,PoW,33716526.0,100000000
XCXT,CoinonatX,Scrypt,PoW/PoS,19539588.0,48252000
BLAS,BlakeStar,Blake2S,PoW/PoS,,2400000000
ETHD,Ethereum Dark,Scrypt,PoW/PoS,4200000.0,4200000
SUMO,Sumokoin,CryptoNight,PoW,8946653.0,88888888
ODN,Obsidian,SHA-512,PoS,25000000.0,91388946
ADA,Cardano,Ouroboros,PoS,25927070538.0,45000000000
REC,Regalcoin,X11,PoW/PoS,7262402.04264803,27000000
BTCZ,BitcoinZ,Equihash,PoW,5211553258.01514,21000000000
NTM,NetM,Scrypt,PoW,,101318932073.89769
TZC,TrezarCoin,NeoScrypt,PoW/PoS,182638400.0,400000000
ELM,Elements,X11,PoW,2702855668.85288,1800000000
TER,TerraNovaCoin,Scrypt,PoW/PoS,1140734.91680375,15733333
VIVO,VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000
RGC,RG Coin,NIST5,PoW/PoS,,300000000
RUP,Rupee,Lyra2REv2,PoS,24000000.0,24000000
BTG,Bitcoin Gold,Equihash,PoW,17202361.088994,21000000
WOMEN,WomenCoin,Scrypt,PoW/PoS,48459472454.0,25000000000
MAY,Theresa May Coin,SHA-256,PoW/PoS,92050800.0,100000000
EDDIE,Eddie coin,Scrypt,PoW/PoS,,1000000000
NAMO,NamoCoin,NIST5,PoW/PoS,560563220.0,1200000000
LUX,LUXCoin,PHI1612,PoW/PoS,8305775.31777569,60000000
PIRL,Pirl,Dagger,PoW,33986980.0,156306732.71
XIOS,Xios,Scrypt,PoW/PoS,2149688.0,21000000
BTDX,Bitcloud 2.0,Quark,PoW/PoS,30711550.5294042,200000000
EBST,eBoost,Scrypt,PoW,99990001.493466,100000000
KEK,KekCoin,POS 2.0,PoS,12330806.30517,21000000
BLHC,BlackholeCoin,Scrypt,PoW/PoS,16362544.992,14788275.991
ALTCOM,AltCommunity Coin,SkunkHash,PoW/PoS,0.0,5000000
PURE,Pure,X11,PoW/PoS,0.0,3686860
RUPX,Rupaya,Quark,PoS,0.0,75000000
XIN,Infinity Economics,SHA-256,PoS,8999999990.0,9000000000
HNCN,Huncoin,X13,PoW,,86400000
MADC,MadCoin,Scrypt,PoW,,10000000
PURA,Pura,X11,PoW,175215859.0,350000000
INN,Innova,NeoScrypt,PoW,6375259.04,45000000
BDL,Bitdeal,Scrypt,PoW,0.0,300000000
WSC,WiserCoin,Scrypt,PoW,,22105263
MSR,Masari,CryptoNight,PoW,,18500000
ELLA,Ellaism,Ethash,PoW,12756367.0,280000000
SKR,Sakuracoin,Scrypt,PoW,0.0,105100000
ISH,Interstellar Holdings,Scrypt,PoS,0.0,1970000000
GBX,GoByte,NeoScrypt,PoW,5832306.875,31800000
CSTL,Castle,Quark,DPoS,0.0,50000000 
ICC,Insta Cash Coin,SHA-256,PoW,0.0,300000000
ALQO,Alqo,Quark,PoW/PoS,65269530.104519,57879300
KNGN,KingN Coin,Scrypt,PoW/PoS,,420000
MAG,Magnet,X11,PoW/PoS,38198594.8342105,144000000
TAU,Lamden Tau,DPoS,DPoS,288090567.493887,500000000
ECA,Electra,NIST5,PoW/PoS,28399150208.0,30000000000
BCD,Bitcoin Diamond,X13,PoW/PoS,183534024.889807,210000000
VOT,Votecoin,Equihash,PoW,,220000000
XSH,SHIELD,Multiple,PoW,481730566.566176,660000000
BCO*,BridgeCoin,Scrypt,PoW,0.0,27000000
DSR,Desire,NeoScrypt,PoW,,22000000
MUT,Mutual Coin,Scrypt,PoW/PoS,0.0,1000000000
CNBC,Cash & Back Coin,Scrypt,PoW/PoS,110976977.29338,210000000
XUN,UltraNote,CryptoNight,PoW,19281821413.4924,85000000000
MAN,People,Scrypt,PoW,,7500000000
ACHN,Achain,DPoS,DPoS,,1000000000
NRO,Neuro,SHA-256,PoW/PoS,,20000000
SEND,Social Send,Quark,PoW/PoS,,150000000
COAL,BitCoal,CryptoNight,PoW,4500000.0,12500000
DAXX,DaxxCoin,Ethash,PoW,520891780.0,10000000000
BWK,Bulwark,NIST5,PoS,13247178.8807286,27716121
BOXY,BoxyCoin,Scrypt,PoW,5761512.8103491,100000000
SBTC,Super Bitcoin,SHA-256,PoW,,21210000
KLKS,Kalkulus,Quark,PoS,16955764.902064,20000000
AC3,AC3,X11,PoW,80316207.0,550000000
CHIPS,CHIPS,SHA-256,PoW,0.0,21000000
LTHN,Lethean,CryptoNight-V7,PoW,441250233.377,999481516
